Parameters: V_min=100, V_max=1500, V_step=10 | R_min=1400, R_max=2000, R_step=50 | qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=600, dt=5e-05, (Increasing V_ext)
V_ext,R_ext,burst_freq,avg_ibi,intra_burst_freq,x_min,x_max,x_f,T'_f,V_f,V'_f
100,1400,0.00166667,0,0,-0.25576,-0.25576,-0.255760244517675,-0.0348925067790525,0.304242610793165,-2.45742856417313
110,1400,0.00166666666698554,0,0,-0.25576024425522,-0.232708144437694,-0.233483707982262,-0.0349113965942131,0.279841249040676,-2.23299586238501
120,1400,0.00166666666698554,0,0,-0.233483707719816,-0.211960584402052,-0.212641919199176,-0.0346748215264332,0.258841504943448,-2.03146169910103
130,1400,0.00166666666698554,0,0,-0.212641918936741,-0.192376814682347,-0.192990280211752,-0.0341909844997935,0.240717967934961,-1.84789642494875
140,1400,0.00166666666698554,0,0,-0.192990279949328,-0.173767749741157,-0.174330512910551,-0.03345844258334,0.22507744084236,-1.67831858132585
150,1400,0.00166666666698554,0,0,-0.17433051264814,-0.155971821480532,-0.156496123657189,-0.0324668082227028,0.211624528934483,-1.51940496184724
160,1400,0.00166666666698554,0,0,-0.156496123394791,-0.138846641161717,-0.139342003966178,-0.0311967831445494,0.200139383679706,-1.36828235240607
170,1400,0.00166666666698554,0,0,-0.139342003703793,-0.12226180533651,-0.122736304377883,-0.0296194970830085,0.190463435246022,-1.22236536113165
180,1400,0.00166666666698554,0,0,-0.122736304115511,-0.106092115257093,-0.106553219796586,-0.0276949737006823,0.182490887155105,-1.07921505405431
190,1400,0.00166666666698554,0,0,-0.106553219534228,-0.0902101427390113,-0.0906653757842999,-0.025369315011109,0.176165032558599,-0.936395396465745
200,1400,0.00166666666698554,0,0,-0.0906653755219555,-0.0744764524404793,-0.0749340294472699,-0.0225697486601004,0.171479628569232,-0.791298118176027
210,1400,0.00166666666698554,0,0,-0.0749340291849384,-0.0587242212327669,-0.0591937894438332,-0.0191956773358161,0.168487278193142,-0.640884300253356
220,1400,0.00166666666698554,0,0,-0.0591937891815135,-0.0427307130044468,-0.0432242712635473,-0.0151012720974195,0.16732050758976,-0.481227013536986
230,1400,0.00166666666698554,0,0,-0.0432242710012377,-0.0261546528780696,-0.0266874374265669,-0.01005719067118,0.168242089096049,-0.30653686740885
240,1400,0.00166666666698554,0,0,-0.026687437164265,-0.00836551968902919,-0.0089542994044451,-0.00364774444208349,0.171783007804163,-0.106545068163214
250,1400,0.00166666666698554,0,0,-0.00895429914214778,0.0122287463470142,0.0115982522230868,0.00512995481158679,0.179277498129521,0.143845040156051
260,1400,0,0,0,0.0115982524853844,0.621775831245567,0.610002274090666,3.69327147488365,14.1636937009516,111.592389079202
270,1400,0,0,0,0.610002274352351,0.611592719086352,0.610385708301195,3.99271007829468,14.752948509569,116.214785317232
280,1400,0,0,0,0.61038570856287,0.611967807025522,0.610690540292669,4.30240024652356,15.3361336619979,120.792025027807
290,1400,0,0,0,0.610690540554336,0.6122695558925,0.610917909970021,4.62197613348203,15.9123220483994,125.317278333051
300,1400,0,0,0,0.610901732518897,0.61249916338081,0.61106845674992,4.95103237011532,16.4805503804875,129.783438629432
310,1400,0,0,0,0.610938314664738,0.612657437511601,0.611142333236582,5.28912040768436,17.039812317875,134.183069316853
