V_DC,R_ext,is_phase_lock,width,CV1_at_target_freq,CV2_at_tartget_freq,centre_of_phase_locking,left_depth,righ_depth,depth
4.817229221459332,591.6432633610563,1,0.022000000000000016,0.09420616740857732,0.10238451577645717,0.05075,0.8452162797953455,7.6251477414997625e-06,0.42261195247154354
7.937069130799582,688.941840018177,1,0.022000000000000016,0.13088365006096161,0.16170771511992132,0.08825,0.30625941274265583,0.03977204125621853,0.17301572699943718
6.845328653754041,558.330705320805,1,0.021500000000000016,0.09741851282592316,0.05794457042492921,0.0765,0.5826507719306538,0.038003388424976,0.3103270801778149
4.772987994236118,886.1568678455781,1,0.02550000000000002,0.12910545231892065,0.17849434296111955,0.047,0.7818252650992784,3.169773044281064e-05,0.3909284814148606
6.8033296267155,476.90626113095135,1,0.022000000000000016,0.08502397711926052,0.041322512195064234,0.07575,0.5964209961106142,0.03473163843583421,0.3155763172732242
3.8536152383492395,665.3681074283281,1,0.022500000000000017,1.3127425272378464e-15,6.821210263296968e-16,0.036500000000000005,0.4441793770365512,3.390618642720957e-05,0.22210664161148921
7.171224675680099,635.7715554522424,1,0.021500000000000016,0.11824455223187542,0.10244257292097789,0.08,0.3371852138803293,0.03345834375769244,0.18532177881901085
4.304434987214496,845.6479884057348,1,0.02450000000000002,0.09215812564095664,0.1829139091853864,0.041,0.6687131780613581,3.198943138395733e-05,0.334372583746371
4.061736635316561,276.1500532050758,1,0.022000000000000016,0.08037787405477821,0.1595325835257665,0.04225,0.5954915359921055,3.198943138326929e-05,0.29776176271174437
5.778462265252438,702.1941515089713,1,0.021000000000000015,6.43223785965811e-06,6.530403272210035e-07,0.06325,0.5813412803580581,0.11635936846574385,0.348850324411901
5.832525869610642,414.93786715925916,1,0.021000000000000015,6.43223785965811e-06,6.530403272210035e-07,0.06475,0.5265625658767843,0.1042843722639306,0.31542346907035745
6.115807335296102,481.36670023928895,1,0.021000000000000015,6.432237859284986e-06,1.306080654516256e-06,0.06825,0.5347230218904817,0.0902376323934826,0.31248032714198215
6.731082974734626,383.00158700867394,1,0.022500000000000017,0.007220514272699409,0.0007700342669105739,0.074,0.4777951372932446,0.028967951179458357,0.25338154423635145
7.34642149718729,419.29423744835066,1,0.023500000000000017,0.1146698022755986,0.09887239985273169,0.0805,0.38812277679887996,0.04385941872998883,0.2159910977644344
5.444982570013404,578.3422774440883,1,0.021000000000000015,6.432237859650616e-06,1.3060806548874737e-06,0.059750000000000004,0.6627747744975157,0.08978959108532987,0.3762821827914228
3.645338317632215,661.7375127266943,1,0.021000000000000015,4.571425585888853e-06,6.666560006096473e-07,0.03425,1.5673532085382757e-05,2.793761427298004e-05,2.1805573179181397e-05
5.205523924129048,988.5671553728911,1,0.02600000000000002,1.432407648112651e-05,2.6121195167550333e-06,0.052250000000000005,0.9090252342789588,5.332633412011532e-05,0.45453928030653945
3.7800632339665543,815.7739821490609,1,0.022000000000000016,4.571425586154122e-06,6.666560002685853e-07,0.03475,1.5918431019646033e-05,6.291533961554841e-06,1.1104982490600436e-05
7.964735840190785,277.96719914806624,1,0.02750000000000002,0.11502594540800758,0.08912315934255101,0.081,0.41170341975491626,0.08664113163966729,0.24917227569729178
3.9865398853164002,335.01467924521853,1,0.021500000000000016,0.12040162015105142,0.1954873833255671,0.041,0.6194233331433514,1.1036593428814276e-05,0.3097171848683901
6.37971731296569,502.52159702448137,1,0.021000000000000015,0.000819356238835103,8.438069030659758e-05,0.07125000000000001,0.5272513883015459,0.10956267940584706,0.3184070338536965
7.21286086082614,911.8419077298395,1,0.021500000000000016,0.11983398513231901,0.1053236379918844,0.08,0.39633398871085285,0.03987942148688849,0.21810670509887067
7.545633951311888,625.2638107340442,1,0.021500000000000016,0.12638302764541057,0.13460430985169192,0.084,0.3163255183635047,0.042027472466582366,0.17917649541504355
7.426150624131768,323.3082368464344,1,0.02550000000000002,0.10495151193448865,0.07183397348895829,0.079,0.4483669834414491,0.054231500828215845,0.25129924213483246
